sepal length,sepal width,petal length,petal width,sepal area,petal area,label
5.2,3.8,1.5,0.3,19.76,0.45,Iris-setosa
5.3,4.1,1.5,0.1,21.73,0.15,Iris-setosa
4.8,3.1,1.5,0.2,14.88,0.3,Iris-setosa
5.2,3.7,1.5,0.2,19.24,0.3,Iris-setosa
4.9,3,1.5,0.3,14.7,0.45,Iris-setosa
5.1,3.7,1.5,0.4,18.87,0.6,Iris-setosa
5.2,3.7,1.5,0.3,19.24,0.45,Iris-setosa
5.4,3.4,1.6,0.2,18.36,0.32,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.2,3.7,1.5,0.3,19.24,0.45,Iris-setosa
5,3.3,1.5,0.2,16.5,0.3,Iris-setosa
5,3.4,1.5,0.2,17,0.3,Iris-setosa
5.4,3.9,1.5,0.4,21.06,0.6,Iris-setosa
4.8,3.1,1.5,0.2,14.88,0.3,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
4.4,3.1,1.1,0.1,13.64,0.11,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
4.5,3.2,1.3,0.2,14.4,0.26,Iris-setosa
4.9,3,1.5,0.2,14.7,0.3,Iris-setosa
4.9,3.4,1.6,0.2,16.66,0.32,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
4.9,3,1.5,0.2,14.7,0.3,Iris-setosa
4.9,3,1.5,0.3,14.7,0.45,Iris-setosa
5.2,3.5,1.5,0.2,18.2,0.3,Iris-setosa
5,3.4,1.5,0.2,17,0.3,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
5.4,3.9,1.6,0.4,21.06,0.64,Iris-setosa
5,3.3,1.6,0.4,16.5,0.64,Iris-setosa
5.3,3.9,1.5,0.3,20.67,0.45,Iris-setosa
5.1,3.3,1.5,0.2,16.83,0.3,Iris-setosa
5.4,4.2,1.5,0.2,22.68,0.3,Iris-setosa
5.1,3.8,1.5,0.3,19.38,0.45,Iris-setosa
5.1,3.7,1.5,0.4,18.87,0.6,Iris-setosa
5.1,3.8,1.5,0.3,19.38,0.45,Iris-setosa
4.9,3.4,1.8,0.2,16.66,0.36,Iris-setosa
5.1,3.7,1.5,0.4,18.87,0.6,Iris-setosa
5.1,3.5,1.5,0.3,17.85,0.45,Iris-setosa
5,3.3,1.3,0.2,16.5,0.26,Iris-setosa
5.4,3.4,1.5,0.2,18.36,0.3,Iris-setosa
5.4,3.4,1.5,0.3,18.36,0.45,Iris-setosa
5.7,3.8,1.6,0.3,21.66,0.48,Iris-setosa
5,3.5,1.3,0.3,17.5,0.39,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
4.6,3.2,1.5,0.2,14.72,0.3,Iris-setosa
5,3.5,1.3,0.3,17.5,0.39,Iris-setosa
5.1,3.4,1.5,0.2,17.34,0.3,Iris-setosa
4.6,3.4,1.5,0.3,15.64,0.45,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
4.6,3.4,1.5,0.3,15.64,0.45,Iris-setosa
5,3.4,1.5,0.2,17,0.3,Iris-setosa
5.3,4,1.5,0.1,21.2,0.15,Iris-setosa
5.4,3.9,1.6,0.4,21.06,0.64,Iris-setosa
5.1,3.8,1.6,0.2,19.38,0.32,Iris-setosa
5.1,3.4,1.5,0.2,17.34,0.3,Iris-setosa
4.7,3.4,1.5,0.3,15.98,0.45,Iris-setosa
4.9,3,1.5,0.2,14.7,0.3,Iris-setosa
4.7,3.1,1.5,0.3,14.57,0.45,Iris-setosa
4.7,3.2,1.3,0.2,15.04,0.26,Iris-setosa
5.5,3.7,1.5,0.2,20.35,0.3,Iris-setosa
5.4,3.4,1.6,0.2,18.36,0.32,Iris-setosa
5.6,4.4,1.5,0.4,24.64,0.6,Iris-setosa
5.3,3.9,1.3,0.4,20.67,0.52,Iris-setosa
5.4,3.9,1.6,0.4,21.06,0.64,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.2,3.7,1.5,0.2,19.24,0.3,Iris-setosa
4.3,3,1.1,0.1,12.9,0.11,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
4.8,3.1,1.6,0.2,14.88,0.32,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
4.9,3.4,1.6,0.2,16.66,0.32,Iris-setosa
4.9,3.4,1.6,0.2,16.66,0.32,Iris-setosa
5.3,3.9,1.8,0.4,20.67,0.72,Iris-setosa
5.1,3.7,1.5,0.4,18.87,0.6,Iris-setosa
4.8,3.1,1.6,0.2,14.88,0.32,Iris-setosa
5,3.3,1.6,0.4,16.5,0.64,Iris-setosa
5.3,4,1.6,0.2,21.2,0.32,Iris-setosa
5,3.4,1.6,0.4,17,0.64,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.4,3.9,1.5,0.4,21.06,0.6,Iris-setosa
5.7,4.4,1.5,0.4,25.08,0.6,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.7,4.1,1.3,0.2,23.37,0.26,Iris-setosa
5,3.6,1.5,0.2,18,0.3,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
4.5,3.1,1.5,0.2,13.95,0.3,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
4.9,3,1.5,0.2,14.7,0.3,Iris-setosa
5.5,4.2,1.5,0.2,23.1,0.3,Iris-setosa
5.1,3.8,1.6,0.4,19.38,0.64,Iris-setosa
5,3.4,1.6,0.4,17,0.64,Iris-setosa
4.4,3.1,1.3,0.2,13.64,0.26,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5,3.4,1.5,0.2,17,0.3,Iris-setosa
5.2,3.5,1.5,0.2,18.2,0.3,Iris-setosa
4.4,3.1,1.1,0.1,13.64,0.11,Iris-setosa
4.8,3,1.5,0.1,14.4,0.15,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
4.4,2.9,1.5,0.2,12.76,0.3,Iris-setosa
4.6,3.4,1.5,0.3,15.64,0.45,Iris-setosa
5.1,3.4,1.5,0.2,17.34,0.3,Iris-setosa
5.4,3.5,1.3,0.2,18.9,0.26,Iris-setosa
4.9,3.1,1.6,0.1,15.19,0.16,Iris-setosa
4.7,3.2,1.3,0.2,15.04,0.26,Iris-setosa
5.2,3.7,1.5,0.2,19.24,0.3,Iris-setosa
4.6,2.5,1.3,0.3,11.5,0.39,Iris-setosa
4.6,3.2,1.5,0.2,14.72,0.3,Iris-setosa
5.1,3.8,1.5,0.3,19.38,0.45,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
4.7,3.2,1.5,0.2,15.04,0.3,Iris-setosa
4.6,3.4,1.5,0.3,15.64,0.45,Iris-setosa
4.6,3.2,1.5,0.2,14.72,0.3,Iris-setosa
5.1,3.5,1.5,0.3,17.85,0.45,Iris-setosa
5.3,3.7,1.5,0.2,19.61,0.3,Iris-setosa
5.5,3.9,1.5,0.4,21.45,0.6,Iris-setosa
5.2,4,1.5,0.1,20.8,0.15,Iris-setosa
5.3,3.5,1.5,0.2,18.55,0.3,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.1,3.4,1.5,0.2,17.34,0.3,Iris-setosa
5,3.5,1.6,0.6,17.5,0.96,Iris-setosa
4.7,3.2,1.3,0.2,15.04,0.26,Iris-setosa
5.1,3.5,1.5,0.2,17.85,0.3,Iris-setosa
5,3.5,1.3,0.3,17.5,0.39,Iris-setosa
4.5,3.2,1.3,0.2,14.4,0.26,Iris-setosa
5.8,4,1.1,0.2,23.2,0.22,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.1,3.5,1.5,0.3,17.85,0.45,Iris-setosa
5.1,3.7,1.5,0.4,18.87,0.6,Iris-setosa
5.2,3.7,1.5,0.2,19.24,0.3,Iris-setosa
5.4,3.9,1.5,0.4,21.06,0.6,Iris-setosa
4.9,3,1.5,0.2,14.7,0.3,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
4.8,3.4,1.6,0.2,16.32,0.32,Iris-setosa
5.2,3.4,1.5,0.2,17.68,0.3,Iris-setosa
5.4,4,1.3,0.1,21.6,0.13,Iris-setosa
5.1,3.5,1.5,0.2,17.85,0.3,Iris-setosa
5.2,3.7,1.6,0.3,19.24,0.48,Iris-setosa
4.4,3,1.1,0.1,13.2,0.11,Iris-setosa
4.9,3.4,1.5,0.2,16.66,0.3,Iris-setosa
4.6,3.2,1.5,0.2,14.72,0.3,Iris-setosa
5,3.4,1.5,0.2,17,0.3,Iris-setosa
4.9,3.1,1.5,0.1,15.19,0.15,Iris-setosa
5.2,4,1.5,0.1,20.8,0.15,Iris-setosa
5.4,3.9,1.6,0.4,21.06,0.64,Iris-setosa
5.2,3.8,1.8,0.4,19.76,0.72,Iris-setosa
5,3.2,1.3,0.2,16,0.26,Iris-setosa
5,3.5,1.3,0.3,17.5,0.39,Iris-setosa
5.2,3.5,1.5,0.2,18.2,0.3,Iris-setosa
